chrom	strand	start	end	gid	gname	overlapped	species	assembly
chr13	+	23755570	23756187	ENSMUSG00000058385	H2bc8	false	mouse	GRCm39
chr13	-	23757910	23758370	ENSMUSG00000069268	H2bc7	false	mouse	GRCm39
chr13	+	23758555	23759126	ENSMUSG00000071478	H2ac7	false	mouse	GRCm39
chr13	+	23759937	23763267	ENSMUSG00000099583	H3c4	false	mouse	GRCm39
chr13	+	23765581	23766718	ENSMUSG00000061482	H4c4	false	mouse	GRCm39
chr13	-	23767653	23805107	ENSMUSG00000047246	H2bc6	false	mouse	GRCm39
chr13	-	23804612	23806541	ENSMUSG00000051627	H1f4	false	mouse	GRCm39
chr13	-	23865450	23867931	ENSMUSG00000069270	H2ac6	false	mouse	GRCm39
chr13	+	23868182	23876891	ENSMUSG00000018102	H2bc4	false	mouse	GRCm39
chr13	+	23879797	23880708	ENSMUSG00000036211	H1f6	false	mouse	GRCm39
chr13	-	23881618	23882437	ENSMUSG00000060678	H4c3	false	mouse	GRCm39
chr13	-	23886017	23894837	ENSMUSG00000006611	Hfe	false	mouse	GRCm39
chr13	+	23922791	23924350	ENSMUSG00000036181	H1f2	false	mouse	GRCm39
chr13	-	23928956	23929585	ENSMUSG00000069310	H3c3	false	mouse	GRCm39
chr13	+	23930717	23931224	ENSMUSG00000075031	H2bc3	false	mouse	GRCm39
chr13	+	23935109	23935581	ENSMUSG00000061615	H2ac4	false	mouse	GRCm39
chr13	+	23936250	23936869	ENSMUSG00000069267	H3c2	false	mouse	GRCm39
chr13	-	23939805	23941603	ENSMUSG00000075029	4930558J22Rik	false	mouse	GRCm39
chr13	+	23940996	23941392	ENSMUSG00000069266	H4c2	false	mouse	GRCm39
chr13	-	23944675	23945213	ENSMUSG00000060093	H4c1	false	mouse	GRCm39
chr13	-	23945836	23946369	ENSMUSG00000069265	H3c1	false	mouse	GRCm39
chr13	+	23947649	23948389	ENSMUSG00000049539	H1f1	false	mouse	GRCm39
chr13	+	23953896	23975511	ENSMUSG00000064140	Trim38	false	mouse	GRCm39
chr13	-	23978751	23988582	ENSMUSG00000087173	Gm11337	false	mouse	GRCm39
chr13	+	23990976	24009163	ENSMUSG00000036110	Slc17a2	false	mouse	GRCm39
chr13	+	24020918	24022379	ENSMUSG00000120481	Gm56568	false	mouse	GRCm39
chr13	+	24023417	24044699	ENSMUSG00000036083	Slc17a3	false	mouse	GRCm39
chr13	+	24051733	24079713	ENSMUSG00000021335	Slc17a1	false	mouse	GRCm39
chr13	-	24079873	24098992	ENSMUSG00000021336	Slc17a4	false	mouse	GRCm39
chr13	-	24117756	24118139	ENSMUSG00000050799	H2bc1	false	mouse	GRCm39
chr13	+	24118445	24118834	ENSMUSG00000060081	H2ac1	false	mouse	GRCm39
chr13	-	24137439	24175197	ENSMUSG00000021337	Scgn	false	mouse	GRCm39
chr13	+	24140792	24150158	ENSMUSG00000087603	Gm11339	false	mouse	GRCm39
chr13	-	24196327	24464778	ENSMUSG00000021338	Carmil1	false	mouse	GRCm39
chr13	-	24507695	24513023	ENSMUSG00000118631	Gm53019	false	mouse	GRCm39
chr13	+	24511387	24661360	ENSMUSG00000016756	Cmah	false	mouse	GRCm39
chr13	-	24519920	24598786	ENSMUSG00000084788	Gm11342	false	mouse	GRCm39
chr13	+	24685508	24917799	ENSMUSG00000036006	Ripor2	false	mouse	GRCm39
chr13	+	24925215	24930575	ENSMUSG00000085861	Armh2	false	mouse	GRCm39
chr13	-	24935828	24945906	ENSMUSG00000006715	Gmnn	false	mouse	GRCm39
chr13	+	24945558	24946181	ENSMUSG00000120886	Gm56584	false	mouse	GRCm39
chr13	+	24985104	25000180	ENSMUSG00000019132	BC005537	false	mouse	GRCm39
chr13	-	25001931	25015636	ENSMUSG00000006717	Acot13	false	mouse	GRCm39
chr13	+	25015652	25026136	ENSMUSG00000035958	Tdp2	false	mouse	GRCm39
chr13	+	25029118	25085253	ENSMUSG00000006711	D130043K22Rik	false	mouse	GRCm39
chr13	+	25089576	25098255	ENSMUSG00000086796	4932702P03Rik	false	mouse	GRCm39
chr13	-	25091562	25121644	ENSMUSG00000035936	Aldh5a1	false	mouse	GRCm39
chr13	+	25121384	25125400	ENSMUSG00000086448	9330162012Rik	false	mouse	GRCm39
chr13	+	25127135	25176484	ENSMUSG00000021340	Gpld1	false	mouse	GRCm39
chr13	-	25171466	25204362	ENSMUSG00000021339	Mrs2	false	mouse	GRCm39
chr13	+	25239987	25394689	ENSMUSG00000035910	Dcdc2a	false	mouse	GRCm39
chr13	-	25436023	25454485	ENSMUSG00000048978	Nrsn1	false	mouse	GRCm39
chr13	-	26105016	26170276	ENSMUSG00000086531	Gm11351	false	mouse	GRCm39
chr13	-	26467133	26496389	ENSMUSG00000084811	1700092E19Rik	false	mouse	GRCm39
chr13	-	26952156	26954148	ENSMUSG00000045835	Hdgfl1	false	mouse	GRCm39
chr13	+	26953376	26956710	ENSMUSG00000114342	4921520N01Rik	false	mouse	GRCm39
chr13	-	27152474	27242005	ENSMUSG00000114646	Gm47888	false	mouse	GRCm39
chr13	+	27241553	27249188	ENSMUSG00000021342	Prl	false	mouse	GRCm39
chr13	+	27278173	27284241	ENSMUSG00000057170	Prl3d1	false	mouse	GRCm39
chr13	+	27305681	27311538	ENSMUSG00000062737	Prl3d2	false	mouse	GRCm39
chr13	+	27340773	27346576	ENSMUSG00000062201	Prl3d3	false	mouse	GRCm39
chr13	+	27380642	27387732	ENSMUSG00000017922	Prl3c1	false	mouse	GRCm39
chr13	+	27425830	27433666	ENSMUSG00000038891	Prl3b1	false	mouse	GRCm39
chr13	+	27443419	27460650	ENSMUSG00000038883	Prl3a1	false	mouse	GRCm39
chr13	+	27476599	27490015	ENSMUSG00000086698	4930511O05Rik	false	mouse	GRCm39
chr13	+	27496610	27503235	ENSMUSG00000069259	Prl6a1	false	mouse	GRCm39
chr13	+	27529656	27538199	ENSMUSG00000018259	Prl8a2	false	mouse	GRCm39
chr13	-	27567322	27574829	ENSMUSG00000069258	Prl2b1	false	mouse	GRCm39
chr13	-	27616664	27622671	ENSMUSG00000021345	Prl8a6	false	mouse	GRCm39
chr13	-	27690951	27697200	ENSMUSG00000021346	Prl8a8	false	mouse	GRCm39
chr13	-	27741978	27748589	ENSMUSG00000006490	Prl8a9	false	mouse	GRCm39
chr13	-	27757905	27766154	ENSMUSG00000019756	Prl8a1	false	mouse	GRCm39
chr13	-	27785802	27794565	ENSMUSG00000021347	Prl7b1	false	mouse	GRCm39
chr13	-	27817349	27826476	ENSMUSG00000006488	Prl7a1	false	mouse	GRCm39
chr13	-	27842567	27852019	ENSMUSG00000046899	Prl7a2	false	mouse	GRCm39
chr13	-	27890320	27900719	ENSMUSG00000021348	Prl7d1	false	mouse	GRCm39
chr13	-	27957478	27964787	ENSMUSG00000060738	Prl7c1	false	mouse	GRCm39
chr13	+	27985637	27992712	ENSMUSG00000022886	Prl2a1	false	mouse	GRCm39
chr13	+	28033325	28041771	ENSMUSG00000062551	Prl2c1	false	mouse	GRCm39
chr13	+	28200195	28207542	ENSMUSG00000005891	Prl4a1	false	mouse	GRCm39
chr13	+	28326467	28335594	ENSMUSG00000017064	Prl5a1	false	mouse	GRCm39
chr13	-	28578436	28604049	ENSMUSG00000113216	Gm40841	false	mouse	GRCm39
chr13	-	28614558	29069613	ENSMUSG00000085936	2610307P16Rik	false	mouse	GRCm39
chr13	-	29073441	29082659	ENSMUSG00000113352	Gm34639	false	mouse	GRCm39
chr13	-	29132902	29137696	ENSMUSG00000076431	Sox4	false	mouse	GRCm39
chr13	+	29198241	29225639	ENSMUSG00000086363	A330102I10Rik	false	mouse	GRCm39
chr13	-	29375729	30039657	ENSMUSG00000006191	Cdkal1	false	mouse	GRCm39
chr13	-	29419760	29420603	ENSMUSG00000086423	Gm11364	false	mouse	GRCm39
chr13	-	30090558	30170046	ENSMUSG00000016477	E2f3	false	mouse	GRCm39
chr13	+	30124266	30126244	ENSMUSG00000086893	Gm11365	false	mouse	GRCm39
chr13	+	30242660	30246954	ENSMUSG00000085188	Gm11368	false	mouse	GRCm39
chr13	+	30320472	30430700	ENSMUSG00000038732	Mboat1	false	mouse	GRCm39
chr13	+	30520424	30566850	ENSMUSG00000049115	Agtr1a	false	mouse	GRCm39
chr13	+	30554342	30561166	ENSMUSG00000113424	Gm48161	false	mouse	GRCm39
chr13	-	30724291	30729345	ENSMUSG00000038462	Uqcrfs1	false	mouse	GRCm39
chr13	+	30799026	30808242	ENSMUSG00000086263	4930519D14Rik	false	mouse	GRCm39
chr13	+	30843982	30895214	ENSMUSG00000069255	Dusp22	false	mouse	GRCm39
chr13	+	30933209	30950959	ENSMUSG00000021356	Irf4	false	mouse	GRCm39
chr13	-	30968416	30979209	ENSMUSG00000113515	Gm29675	false	mouse	GRCm39
chr13	-	30997902	31158076	ENSMUSG00000021357	Exoc2	false	mouse	GRCm39
chr13	-	31130556	31131742	ENSMUSG00000076430	Hus1b	false	mouse	GRCm39
chr13	-	31256713	31261828	ENSMUSG00000114161	Gm48662	false	mouse	GRCm39
chr13	-	31397393	31425069	ENSMUSG00000087460	4930401O12Rik	false	mouse	GRCm39
chr13	-	31509917	31514750	ENSMUSG00000087662	Gm11373	false	mouse	GRCm39
chr13	-	31533884	31592905	ENSMUSG00000085620	G630018N14Rik	false	mouse	GRCm39
chr13	+	31576561	31580562	ENSMUSG00000087140	Gm11376	false	mouse	GRCm39
chr13	+	31740117	31744959	ENSMUSG00000038415	Foxq1	false	mouse	GRCm39
chr13	+	31748732	31757545	ENSMUSG00000087220	Gm11377	false	mouse	GRCm39
chr13	-	31749475	31809775	ENSMUSG00000038408	1700018A04Rik	false	mouse	GRCm39
chr13	+	31803151	31804352	ENSMUSG00000087276	Gm11378	false	mouse	GRCm39
chr13	+	31809799	31815386	ENSMUSG00000038402	Foxf2	false	mouse	GRCm39
chr13	-	31856378	31865485	ENSMUSG00000120009	Gm56561	false	mouse	GRCm39
chr13	+	31981522	31984772	ENSMUSG00000086144	Gm11379	false	mouse	GRCm39
chr13	+	31990616	31996459	ENSMUSG00000050295	Foxc1	false	mouse	GRCm39
chr13	-	32003562	32522723	ENSMUSG00000038372	Gmds	false	mouse	GRCm39
chr13	+	32004048	32006240	ENSMUSG00000120974	Gm56587	false	mouse	GRCm39
chr13	+	32155069	32156312	ENSMUSG00000113935	Gm35732	false	mouse	GRCm39
chr13	-	32563890	32567671	ENSMUSG00000085770	Gm11381	false	mouse	GRCm39
chr13	-	32716902	32720398	ENSMUSG00000113449	Gm48073	false	mouse	GRCm39
chr13	+	32797999	32866498	ENSMUSG00000118652	Gm54771	false	mouse	GRCm39
chr13	-	32884810	32967937	ENSMUSG00000044951	Mylk4	false	mouse	GRCm39
chr13	-	32984616	32987074	ENSMUSG00000042874	D930007J09Rik	false	mouse	GRCm39
chr13	+	32986021	33006592	ENSMUSG00000021400	Wrnip1	false	mouse	GRCm39
chr13	-	33026075	33035168	ENSMUSG00000044734	Serpinb1a	false	mouse	GRCm39
chr13	-	33065417	33082194	ENSMUSG00000079049	Serpinb1c	false	mouse	GRCm39
chr13	+	33149192	33163050	ENSMUSG00000042842	Serpinb6b	false	mouse	GRCm39
chr13	+	33181045	33185733	ENSMUSG00000114185	Gm47662	false	mouse	GRCm39
chr13	+	33187233	33201940	ENSMUSG00000045827	Serpinb9	false	mouse	GRCm39
chr13	+	33211399	33225867	ENSMUSG00000021403	Serpinb9b	false	mouse	GRCm39
chr13	-	33215185	33218543	ENSMUSG00000113726	Gm36099	false	mouse	GRCm39
chr13	+	33262558	33278363	ENSMUSG00000051029	Serpinb1b	false	mouse	GRCm39
chr13	-	33333258	33343725	ENSMUSG00000021404	Serpinb9c	false	mouse	GRCm39
chr13	+	33376942	33387112	ENSMUSG00000054266	Serpinb9d	false	mouse	GRCm39
chr13	+	33433595	33444833	ENSMUSG00000062342	Serpinb9e	false	mouse	GRCm39
chr13	+	33508060	33519353	ENSMUSG00000038327	Serpinb9f	false	mouse	GRCm39
chr13	+	33579744	33589268	ENSMUSG00000071452	Serpinb9h	false	mouse	GRCm39
chr13	+	33668773	33679987	ENSMUSG00000057726	Serpinb9g	false	mouse	GRCm39
chr13	-	33746469	33753300	ENSMUSG00000112963	Gm6093	false	mouse	GRCm39
chr13	+	33753004	33756069	ENSMUSG00000113016	Gm47916	false	mouse	GRCm39
chr13	+	33845388	33855564	ENSMUSG00000047889	Serpinb6d	false	mouse	GRCm39
chr13	-	34016328	34027391	ENSMUSG00000069248	Serpinb6e	false	mouse	GRCm39
chr13	-	34063799	34089691	ENSMUSG00000052180	Serpinb6c	false	mouse	GRCm39
chr13	-	34101901	34186780	ENSMUSG00000060147	Serpinb6a	false	mouse	GRCm39
chr13	+	34119550	34144174	ENSMUSG00000085457	1110046J04Rik	false	mouse	GRCm39
chr13	+	34148670	34172426	ENSMUSG00000046949	Nqo2	false	mouse	GRCm39
chr13	+	34186346	34221130	ENSMUSG00000021408	Ripk1	false	mouse	GRCm39
chr13	+	34221580	34258057	ENSMUSG00000038286	Bphl	false	mouse	GRCm39
chr13	-	34258257	34261990	ENSMUSG00000058672	Tubb2a	false	mouse	GRCm39
chr13	-	34268138	34297255	ENSMUSG00000113591	4930447K03Rik	false	mouse	GRCm39
chr13	+	34303684	34306448	ENSMUSG00000113645	Gm47076	false	mouse	GRCm39
chr13	-	34310731	34314449	ENSMUSG00000045136	Tubb2b	false	mouse	GRCm39
chr13	+	34314563	34316088	ENSMUSG00000120497	Gm56569	false	mouse	GRCm39
chr13	+	34317843	34321637	ENSMUSG00000113883	Gm36500	false	mouse	GRCm39
chr13	+	34346947	34362156	ENSMUSG00000071451	Psmg4	false	mouse	GRCm39
chr13	-	34363141	34529165	ENSMUSG00000038267	Slc22a23	false	mouse	GRCm39
chr13	-	34684711	34690494	ENSMUSG00000113998	Gm40909	false	mouse	GRCm39
chr13	-	34794810	34796229	ENSMUSG00000113185	Gm47127	false	mouse	GRCm39
chr13	-	34811817	34837469	ENSMUSG00000021411	Pxdc1	false	mouse	GRCm39
chr13	+	34836906	34850757	ENSMUSG00000086786	Gm15908	false	mouse	GRCm39
chr13	+	34895432	34899013	ENSMUSG00000113615	Gm47150	false	mouse	GRCm39
chr13	-	34902039	34904734	ENSMUSG00000113822	Gm47151	false	mouse	GRCm39
chr13	+	34904665	34912644	ENSMUSG00000113457	Gm47152	false	mouse	GRCm39
chr13	+	34918833	34931606	ENSMUSG00000038246	Fam50b	false	mouse	GRCm39
chr13	-	34965568	34998527	ENSMUSG00000113484	Gm47157	false	mouse	GRCm39
chr13	-	35056495	35059415	ENSMUSG00000113170	Gm36839	false	mouse	GRCm39
chr13	+	35059285	35090047	ENSMUSG00000021413	Prpf4b	false	mouse	GRCm39
chr13	-	35093943	35108293	ENSMUSG00000021414	Fam217a	false	mouse	GRCm39
chr13	+	35108392	35139858	ENSMUSG00000021415	Tex56	false	mouse	GRCm39
chr13	-	35130597	35147793	ENSMUSG00000021416	Eci3	false	mouse	GRCm39
chr13	+	35147965	35174435	ENSMUSG00000085962	Gm16984	false	mouse	GRCm39
chr13	-	35161731	35211079	ENSMUSG00000021417	Eci2	false	mouse	GRCm39
chr13	-	35211337	35215929	ENSMUSG00000114061	Gm48626	false	mouse	GRCm39
chr13	+	35236710	35267243	ENSMUSG00000113738	Gm40910	false	mouse	GRCm39
chr13	+	35249444	35251603	ENSMUSG00000114233	Gm48629	false	mouse	GRCm39
chr13	-	35351129	35356292	ENSMUSG00000113906	4930529N20Rik	false	mouse	GRCm39
chr13	+	35351910	35372000	ENSMUSG00000102099	1700011B04Rik	false	mouse	GRCm39
chr13	-	35368353	35396031	ENSMUSG00000113770	1700019C18Rik	false	mouse	GRCm39
chr13	+	35373257	35374156	ENSMUSG00000120502	Gm56571	false	mouse	GRCm39
chr13	-	35426954	35440504	ENSMUSG00000114237	Gm48694	false	mouse	GRCm39
chr13	+	35579366	35639815	ENSMUSG00000114838	Gm48703	false	mouse	GRCm39
chr13	+	35727885	35729467	ENSMUSG00000114337	Gm48704	false	mouse	GRCm39
chr13	-	35787013	35844760	ENSMUSG00000114661	Gm48707	false	mouse	GRCm39
chr13	+	35843816	36058046	ENSMUSG00000059288	Cdyl	false	mouse	GRCm39
chr13	-	35957556	35960879	ENSMUSG00000114373	Gm48708	false	mouse	GRCm39
chr13	-	36077455	36090342	ENSMUSG00000021418	Rpp40	false	mouse	GRCm39
chr13	+	36089440	36105372	ENSMUSG00000114270	Gm48746	false	mouse	GRCm39
chr13	-	36141528	36148991	ENSMUSG00000114647	Gm30127	false	mouse	GRCm39
chr13	+	36142822	36154371	ENSMUSG00000050423	Ppp1r3g	false	mouse	GRCm39
chr13	-	36162378	36301509	ENSMUSG00000046573	Lyrm4	false	mouse	GRCm39
chr13	+	36179436	36198447	ENSMUSG00000114857	Gm48770	false	mouse	GRCm39
chr13	-	36190708	36373706	ENSMUSG00000114407	Gm48765	false	mouse	GRCm39
chr13	+	36301344	36910254	ENSMUSG00000021420	Fars2	false	mouse	GRCm39
chr13	-	36753738	36759908	ENSMUSG00000114387	Gm48767	false	mouse	GRCm39
chr13	+	36796790	36837047	ENSMUSG00000114851	Gm46409	false	mouse	GRCm39
chr13	-	36909335	36919105	ENSMUSG00000039114	Nrn1	false	mouse	GRCm39
chr13	+	36911232	36915895	ENSMUSG00000114708	Gm30177	false	mouse	GRCm39
chr13	+	36918862	36919519	ENSMUSG00000120549	Gm56572	false	mouse	GRCm39
chr13	+	37020340	37069570	ENSMUSG00000114483	Gm49144	false	mouse	GRCm39
chr13	-	37047990	37048599	ENSMUSG00000114884	Gm47675	false	mouse	GRCm39
chr13	-	37051152	37234220	ENSMUSG00000039109	F13a1	false	mouse	GRCm39
chr13	+	37147213	37157303	ENSMUSG00000114329	Gm30489	false	mouse	GRCm39
chr13	+	37339994	37341731	ENSMUSG00000114428	Gm47707	false	mouse	GRCm39
chr13	-	37421625	37428883	ENSMUSG00000114297	Gm30600	false	mouse	GRCm39
chr13	+	37432636	37436141	ENSMUSG00000114249	Gm47709	false	mouse	GRCm39
chr13	+	37510442	37511023	ENSMUSG00000114508	Gm47711	false	mouse	GRCm39
chr13	+	37529184	37603012	ENSMUSG00000021423	Ly86	false	mouse	GRCm39
chr13	-	37605809	37619125	ENSMUSG00000100760	Gm4035	false	mouse	GRCm39
chr13	-	37623364	37624430	ENSMUSG00000114791	Gm47730	false	mouse	GRCm39
chr13	-	37633376	37635133	ENSMUSG00000100932	2210022D18Rik	false	mouse	GRCm39
chr13	-	37636188	37637184	ENSMUSG00000099847	Gm29458	false	mouse	GRCm39
chr13	+	37656014	37663189	ENSMUSG00000114701	Gm47731	false	mouse	GRCm39
chr13	+	37666361	37667126	ENSMUSG00000114573	Gm47732	false	mouse	GRCm39
chr13	-	37688182	37691728	ENSMUSG00000114389	Gm47734	false	mouse	GRCm39
chr13	+	37692916	37696050	ENSMUSG00000100022	Gm29590	false	mouse	GRCm39
chr13	+	37725333	37733701	ENSMUSG00000114665	Lncbate6	false	mouse	GRCm39
chr13	-	37745921	37748948	ENSMUSG00000114724	Gm47751	false	mouse	GRCm39
chr13	+	37765053	37773289	ENSMUSG00000114784	Gm47754	false	mouse	GRCm39
chr13	-	37800940	37811579	ENSMUSG00000114404	Gm40915	false	mouse	GRCm39
chr13	-	37817914	37832212	ENSMUSG00000114355	Gm40916	false	mouse	GRCm39
chr13	-	37840998	37851710	ENSMUSG00000114828	AI463229	false	mouse	GRCm39
chr13	-	37868901	37870401	ENSMUSG00000114546	Gm49350	false	mouse	GRCm39
chr13	-	37876065	37901624	ENSMUSG00000114732	Gm40918	false	mouse	GRCm39
chr13	+	37945724	37952123	ENSMUSG00000114800	Gm31600	false	mouse	GRCm39
chr13	+	37962376	38135981	ENSMUSG00000039087	Rreb1	false	mouse	GRCm39
chr13	-	37977358	37983766	ENSMUSG00000114370	Gm46411	false	mouse	GRCm39
chr13	-	38150581	38178193	ENSMUSG00000021427	Ssr1	false	mouse	GRCm39
chr13	-	38190028	38221045	ENSMUSG00000044566	Cage1	false	mouse	GRCm39
chr13	+	38220971	38245409	ENSMUSG00000021428	Riok1	false	mouse	GRCm39
chr13	+	38335270	38382553	ENSMUSG00000054889	Dsp	false	mouse	GRCm39
chr13	+	38388874	38411641	ENSMUSG00000021431	Snrnp48	false	mouse	GRCm39
chr13	+	38504502	38524697	ENSMUSG00000114525	Gm47990	false	mouse	GRCm39
chr13	+	38529083	38684278	ENSMUSG00000039004	Bmp6	false	mouse	GRCm39
chr13	-	38638125	38645781	ENSMUSG00000114895	4930579J19Rik	false	mouse	GRCm39
chr13	-	38684055	38712800	ENSMUSG00000038991	Txndc5	false	mouse	GRCm39
chr13	+	38711379	38716896	ENSMUSG00000114638	Gm31834	false	mouse	GRCm39
chr13	-	38719250	38720656	ENSMUSG00000114331	Gm48056	false	mouse	GRCm39
chr13	+	38738841	38747795	ENSMUSG00000114866	Gm40922	false	mouse	GRCm39
chr13	-	38776818	38819103	ENSMUSG00000038982	Bloc1s5	false	mouse	GRCm39
chr13	+	38818947	38821092	ENSMUSG00000114830	Gm47400	false	mouse	GRCm39
chr13	-	38828183	38843034	ENSMUSG00000001707	Eef1e1	false	mouse	GRCm39
chr13	+	38894030	39092231	ENSMUSG00000114767	Gm46392	false	mouse	GRCm39
chr13	+	38907618	38911198	ENSMUSG00000114813	Gm47510	false	mouse	GRCm39
chr13	+	38959800	38961167	ENSMUSG00000114845	Gm47511	false	mouse	GRCm39
chr13	-	38966137	39009731	ENSMUSG00000114319	Gm47509	false	mouse	GRCm39
chr13	-	39116112	39144851	ENSMUSG00000021432	Slc35b3	false	mouse	GRCm39
chr13	+	39144595	39150581	ENSMUSG00000096932	5033403F01Rik	false	mouse	GRCm39
chr13	+	39624541	39633647	ENSMUSG00000114512	Gm47348	false	mouse	GRCm39
chr13	-	39647203	39650993	ENSMUSG00000114821	Gm3509	false	mouse	GRCm39
chr13	+	39651323	39654110	ENSMUSG00000114330	Gm47349	false	mouse	GRCm39
chr13	-	39714574	39717079	ENSMUSG00000114221	Gm47351	false	mouse	GRCm39
chr13	+	39755559	39883475	ENSMUSG00000114841	Gm47352	false	mouse	GRCm39
chr13	-	39801644	39831223	ENSMUSG00000114300	Gm32243	false	mouse	GRCm39
chr13	-	39925266	39944860	ENSMUSG00000114710	Gm40923	false	mouse	GRCm39
chr13	+	39944914	39998316	ENSMUSG00000114491	A230103O09Rik	false	mouse	GRCm39
chr13	-	40030511	40037857	ENSMUSG00000114957	Gm47316	false	mouse	GRCm39
chr13	-	40155358	40514926	ENSMUSG00000047094	Ofcc1	false	mouse	GRCm39
chr13	-	40712796	40759955	ENSMUSG00000114198	Gm47039	false	mouse	GRCm39
chr13	+	40857481	40861425	ENSMUSG00000055732	Gm9979	false	mouse	GRCm39
chr13	-	40868778	40891852	ENSMUSG00000021359	Tfap2a	false	mouse	GRCm39
chr13	+	40876586	40878925	ENSMUSG00000114936	Gm47061	false	mouse	GRCm39
chr13	+	40881284	40888638	ENSMUSG00000097752	Gm26688	false	mouse	GRCm39
chr13	+	40891044	40892497	ENSMUSG00000114597	Gm47067	false	mouse	GRCm39
chr13	-	40907536	40908472	ENSMUSG00000114640	Gm48107	false	mouse	GRCm39
chr13	+	41013230	41114368	ENSMUSG00000021360	Gcnt2	false	mouse	GRCm39
chr13	-	41060808	41071371	ENSMUSG00000114662	Gm31683	false	mouse	GRCm39
chr13	-	41109890	41154627	ENSMUSG00000086693	A730081D07Rik	false	mouse	GRCm39
chr13	-	41119807	41122192	ENSMUSG00000120899	Gm56617	false	mouse	GRCm39
chr13	+	41154463	41166491	ENSMUSG00000038683	Pak1ip1	false	mouse	GRCm39
chr13	+	41169723	41176062	ENSMUSG00000021361	Tmem14c	false	mouse	GRCm39
chr13	-	41178484	41233182	ENSMUSG00000021363	Mak	false	mouse	GRCm39
chr13	-	41254903	41264511	ENSMUSG00000021362	Gcm2	false	mouse	GRCm39
chr13	+	41267783	41327827	ENSMUSG00000038651	Sycp2l	false	mouse	GRCm39
chr13	+	41330364	41332506	ENSMUSG00000114388	Gm48510	false	mouse	GRCm39
chr13	-	41335857	41373881	ENSMUSG00000021364	Elovl2	false	mouse	GRCm39
chr13	+	41389540	41394954	ENSMUSG00000114247	Gm32063	false	mouse	GRCm39
chr13	+	41403320	41430053	ENSMUSG00000091264	Smim13	false	mouse	GRCm39
chr13	-	41463057	41640838	ENSMUSG00000021365	Nedd9	false	mouse	GRCm39
chr13	+	41513447	41524384	ENSMUSG00000097373	Gm26877	false	mouse	GRCm39
chr13	+	41533432	41538201	ENSMUSG00000114914	Gm48571	false	mouse	GRCm39
chr13	+	41555767	41556829	ENSMUSG00000114552	Gm48570	false	mouse	GRCm39
chr13	+	41640558	41698043	ENSMUSG00000114585	Gm32401	false	mouse	GRCm39
chr13	-	41696481	41713389	ENSMUSG00000114545	Gm32184	false	mouse	GRCm39
chr13	+	41759383	41794831	ENSMUSG00000087370	Tmem170b	false	mouse	GRCm39
chr13	+	41802919	41810253	ENSMUSG00000054258	Gm5082	false	mouse	GRCm39
chr13	-	41916624	42001160	ENSMUSG00000058022	Adtrp	false	mouse	GRCm39
chr13	+	41954259	41955271	ENSMUSG00000085759	1700061E18Rik	false	mouse	GRCm39
chr13	+	41996490	42003244	ENSMUSG00000099672	Gm28564	false	mouse	GRCm39
chr13	+	42019380	42066670	ENSMUSG00000113856	Gm10790	false	mouse	GRCm39
chr13	+	42202810	42203763	ENSMUSG00000100071	Gm28707	false	mouse	GRCm39
chr13	+	42205497	42346013	ENSMUSG00000021366	Hivep1	false	mouse	GRCm39
chr13	+	42454952	42461466	ENSMUSG00000021367	Edn1	false	mouse	GRCm39
chr13	-	42455774	42458467	ENSMUSG00000113619	Gm47118	false	mouse	GRCm39
chr13	+	42833983	43292002	ENSMUSG00000054728	Phactr1	false	mouse	GRCm39
chr13	-	42936168	42941734	ENSMUSG00000089710	Gm15810	false	mouse	GRCm39
chr13	+	43151987	43159543	ENSMUSG00000090135	Gm15809	false	mouse	GRCm39
chr13	-	43271149	43279193	ENSMUSG00000087202	Gm15813	false	mouse	GRCm39
chr13	-	43305216	43324977	ENSMUSG00000021368	Tbc1d7	false	mouse	GRCm39
chr13	+	43325020	43325611	ENSMUSG00000120366	Gm56565	false	mouse	GRCm39
chr13	-	43348721	43457648	ENSMUSG00000051335	Gfod1	false	mouse	GRCm39
chr13	+	43518931	43548679	ENSMUSG00000054021	Sirt5	false	mouse	GRCm39
chr13	+	43551866	43560573	ENSMUSG00000063200	Nol7	false	mouse	GRCm39
chr13	-	43556151	43634758	ENSMUSG00000038546	Ranbp9	false	mouse	GRCm39
chr13	-	43652373	43653643	ENSMUSG00000113891	Gm47683	false	mouse	GRCm39
chr13	+	43683696	43685257	ENSMUSG00000112983	Gm32939	false	mouse	GRCm39
chr13	-	43691869	43713672	ENSMUSG00000021371	Mcur1	false	mouse	GRCm39
chr13	+	43769186	43824421	ENSMUSG00000044164	Rnf182	false	mouse	GRCm39
chr13	+	43836596	43854540	ENSMUSG00000114121	Gm47728	false	mouse	GRCm39
chr13	+	43869865	43872517	ENSMUSG00000110016	Gm20751	false	mouse	GRCm39
chr13	+	43938251	43956608	ENSMUSG00000015396	Cd83	false	mouse	GRCm39
chr13	+	43995914	43999633	ENSMUSG00000114192	Gm33115	false	mouse	GRCm39
chr13	+	44018145	44022065	ENSMUSG00000113780	Gm33195	false	mouse	GRCm39
chr13	+	44102355	44106175	ENSMUSG00000113671	Gm2233	false	mouse	GRCm39
chr13	-	44164063	44172114	ENSMUSG00000113252	Gm33489	false	mouse	GRCm39
chr13	-	44245504	44253436	ENSMUSG00000113276	Gm33630	false	mouse	GRCm39
