srr	gse	size_gb	platform	verified	kit	species	pipeline	status	cells	host	updated_at	dl_key	in_scthread_current	ena_platform	ena_assay	isoquant_status	isoquant_cells	isoquant_transcripts	isoquant_path	isoquant_route	isoquant_barcodes_raw	isoquant_cells_method	species_metadata_source	gsm	gsm_mapping_source	gse_metadata_check	ena_experiment_accession	biosample_accession	ena_sample_accession	ena_study_accession	ena_secondary_study_accession	ena_scientific_name	ena_tax_id	ena_sample_title	ena_experiment_title	ena_instrument_model	ena_library_name	ena_library_strategy	ena_library_source	ena_library_selection	ena_library_layout	geo_title	geo_source_name	geo_organism	geo_characteristics	geo_molecule	geo_description	metadata_status	metadata_conflicts	anchor_status	annotation_status	annotation_method	annotation_cells	annotation_scope	annotation_source	annotation_reproduce	annotation_ref
SRR13422597	GSE166709	0.96	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079459	GEO_SRX_RELATION	MATCH	SRX9837715	SAMN17296746	SRS8020055	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample6_SII	Sequel II	10_PB_6_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	aged mouse 6 (72 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 72 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422598	GSE166709	1.13	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079458	GEO_SRX_RELATION	MATCH	SRX9837714	SAMN17296745	SRS8020060	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample5_SII	Sequel II	10_PB_5_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	young mouse 5 ( 8 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 8 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422599	GSE166709	1.69	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079457	GEO_SRX_RELATION	MATCH	SRX9837713	SAMN17296744	SRS8020059	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample4_SII	Sequel II	10_PB_4_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	aged mouse 4 (72 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 72 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422600	GSE166709	1.21	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079456	GEO_SRX_RELATION	MATCH	SRX9837712	SAMN17296743	SRS8020058	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample3_SII	Sequel II	10_PB_3_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	young mouse 3 ( 8 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 8 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422601	GSE166709	1.15	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079455	GEO_SRX_RELATION	MATCH	SRX9837711	SAMN17296742	SRS8020057	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample2_SII	Sequel II	10_PB_2_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	aged mouse 2 (72 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 72 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422602	GSE166709	1.69	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079454	GEO_SRX_RELATION	MATCH	SRX9837710	SAMN17296741	SRS8020056	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel II sequencing: single cell_RNASeq_sample1_SII	Sequel II	10_PB_1_SII	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	young mouse 1 ( 8 weeks) [Sequel II]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 8 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13422603	GSE166709	0.33	PacBio	True	3prime:v2	mouse	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM5079465	GEO_SRX_RELATION	MATCH	SRX9837709	SAMN17296746	SRS8020055	PRJNA691569	SRP301464	Mus musculus	10090	Model organism or animal sample from Mus musculus	Sequel sequencing: single cell_RNASeq_sample6_S	Sequel	10_PB_6_S	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	cDNA	SINGLE	aged mouse 6 (72 weeks) [Sequel]	bone marrow cells	Mus musculus	cell type: Lineage negative, cKit (Cd117) positive (LK) cell fraction || strain: C57BL/6 || Sex: female || age: 72 weeks	total RNA	single cell fulllenght cDNA (10x Genomics)	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_GSM: geo_gsm_author_sample_identity.tsv (GSM-level identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE166709/	release_v1/active_cell_annotation.parquet
SRR13948564	GSE168776	4.35	PacBio	True	n/a-bulk	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM5169183	GEO_SRX_RELATION	MATCH	SRX10327374	SAMN18274922	SRS8447935	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_long_1k	Sequel II sequencing: GSM5169183: C2C12_long_1k Mus musculus RNA-Seq	Sequel II		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	C2C12_long_1k	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; long-Split-seq (this paper).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 1,000 cells was set aside for this sublibrary which was processed into cDNA followed by sequencing with PacBio long reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948565	GSE168776	5.7	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169184	GEO_SRX_RELATION	MATCH	SRX10327375	SAMN18274921	SRS8447937	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_1k	NextSeq 500 sequencing: GSM5169184: C2C12_short_1k Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_1k	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 1,000 cells was set aside for this sublibrary which was processed into cDNA followed by deep sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948566	GSE168776	4.3	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169185	GEO_SRX_RELATION	MATCH	SRX10327376	SAMN18274920	SRS8447938	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kA	NextSeq 500 sequencing: GSM5169185: C2C12_short_9kA Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kA	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948567	GSE168776	3.7	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169186	GEO_SRX_RELATION	MATCH	SRX10327377	SAMN18274919	SRS8447940	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kB	NextSeq 500 sequencing: GSM5169186: C2C12_short_9kB Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kB	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948568	GSE168776	4.9	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169187	GEO_SRX_RELATION	MATCH	SRX10327378	SAMN18274943	SRS8447936	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kC	NextSeq 500 sequencing: GSM5169187: C2C12_short_9kC Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kC	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948569	GSE168776	4.8	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169188	GEO_SRX_RELATION	MATCH	SRX10327379	SAMN18274942	SRS8447941	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kD	NextSeq 500 sequencing: GSM5169188: C2C12_short_9kD Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kD	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948570	GSE168776	4.3	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169189	GEO_SRX_RELATION	MATCH	SRX10327380	SAMN18274941	SRS8447939	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kE	NextSeq 500 sequencing: GSM5169189: C2C12_short_9kE Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kE	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR13948571	GSE168776	3.6	Illumina	False	n/a-bulk	mouse	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5169190	GEO_SRX_RELATION	MATCH	SRX10327381	SAMN18274940	SRS8447942	PRJNA713904	SRP310332	Mus musculus	10090	C2C12_short_9kF	NextSeq 500 sequencing: GSM5169190: C2C12_short_9kF Mus musculus RNA-Seq	NextSeq 500		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	C2C12_short_9kF	C2C12	Mus musculus	celltype: myoblast, myotube || cell line: C2C12 || library prep protocol: scRNA-seq protocol; Single Cell Whole Transcriptome Kit (Parse Biosciences).	polyA RNA	C2C12 myoblast cells, myoblast nuclei, and myotube nuclei were collected for Split-seq and dispersed into 48 wells of a 96 well plate containing unique barcodes per well (12 wells of myoblast cells, 12 wells of myoblast nuclei, and 24 wells of myotube nuclei). Library preparation was performed following manufacturer’s instructions for the Single Cell Whole Transcriptome Kit, where the cells are mixed for the next 2 sets of barcoding reactions followed by sublibrary generation. A mix of 9,000 cells was set aside for this sublibrary which was processed into cDNA followed by shallow sequencing with Illumina short reads.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM C2C12 cell_metadata.csv.gz (sample identity: myoblast; C2C12 line)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE168776/	release_v1/active_cell_annotation.parquet
SRR14751362	GSE176328	2.87	Illumina	True	n/a-bulk	human	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5362814	GEO_SRX_RELATION	MATCH	SRX11084941	SAMN19596233	SRS9150571	PRJNA735770	SRP323082	Homo sapiens	9606	control H9-rep2	Illumina NovaSeq 6000 sequencing: GSM5362814: control H9-rep2 Homo sapiens RNA-Seq	Illumina NovaSeq 6000		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	control H9-rep2	H9 cell line	Homo sapiens	cell line: H9 cell line || cell type: human embryonic stem cells || genotype: control	polyA RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR14751363	GSE176328	3.03	Illumina	True	n/a-bulk	human	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5362815	GEO_SRX_RELATION	MATCH	SRX11084942	SAMN19596229	SRS9150570	PRJNA735770	SRP323082	Homo sapiens	9606	CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep1	Illumina NovaSeq 6000 sequencing: GSM5362815: CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep1 Homo sapiens RNA-Seq	Illumina NovaSeq 6000		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep1	H9 cell line	Homo sapiens	cell line: H9 cell line || cell type: human embryonic stem cells || genotype: CFIm25 KO+ 3Flag-CFIm25 overexpression	polyA RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR14751364	GSE176328	3.35	Illumina	True	n/a-bulk	human	unclassified	downloaded					no	ILLUMINA	bulk-other								ENA	GSM5362816	GEO_SRX_RELATION	MATCH	SRX11084943	SAMN19596237	SRS9150572	PRJNA735770	SRP323082	Homo sapiens	9606	CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep2	Illumina NovaSeq 6000 sequencing: GSM5362816: CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep2 Homo sapiens RNA-Seq	Illumina NovaSeq 6000		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	CFIm25 KO+ 3Flag-CFIm25 overexpression-H9-rep2	H9 cell line	Homo sapiens	cell line: H9 cell line || cell type: human embryonic stem cells || genotype: CFIm25 KO+ 3Flag-CFIm25 overexpression	polyA RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR14808726	GSE178175	0.68	PacBio	True	3prime:v3	human	pacbio_ccs_bypass_lima	downloaded					no	PACBIO_SMRT	scPacBio	done	0	4888	data/isoquant_pacbio/GSE178175/SRR14808726	PacBio	7057	min_genes>=200	ENA	GSM5381313	GEO_SRX_RELATION	MATCH	SRX11141673	SAMN19697590	SRS9203745	PRJNA737508	SRP324021	Homo sapiens	9606	FCtx1_PacBio_preCAP	Sequel II sequencing: GSM5381313: FCtx1_PacBio_preCAP Homo sapiens RNA-Seq	Sequel II		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	FCtx1_PacBio_preCAP	Frontal Cortex	Homo sapiens	tissue: Brain || age: 68 || Sex: Male || disease state: Control (healthy) sample	total RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated_with_unresolved	computational_run_local_reference_consensus_v1	2856	run_exact	COMPUTATIONAL_RUN_LOCAL_REFERENCE_CONSENSUS: same-run matrix; cross-run reference centroids only, no barcode join	python scripts/annotation/reannotate_run_local.py --gse GSE178175 --run SRR14808726; reference-consensus overlay in run audit	release_v8_20260824_same_capture_barcode_paper_qc/active_cell_annotation.parquet
SRR14808727	GSE178175	0.89	PacBio	True	3prime:v3	human	pacbio_ccs_bypass_lima	downloaded					no	PACBIO_SMRT	scPacBio	done	21	6611	data/isoquant_pacbio/GSE178175/SRR14808727	PacBio	8920	annotation_v2_called	ENA	GSM5381314	GEO_SRX_RELATION	MATCH	SRX11141674	SAMN19697589	SRS9203746	PRJNA737508	SRP324021	Homo sapiens	9606	FCtx2_PacBio_preCAP	Sequel II sequencing: GSM5381314: FCtx2_PacBio_preCAP Homo sapiens RNA-Seq	Sequel II		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	FCtx2_PacBio_preCAP	Frontal Cortex	Homo sapiens	tissue: Brain || age: 61 || Sex: Male || disease state: Control (healthy) sample	total RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated_with_unresolved	computational_run_local_reference_consensus_v1	4021	run_exact	COMPUTATIONAL_RUN_LOCAL_REFERENCE_CONSENSUS: same-run matrix; cross-run reference centroids only, no barcode join	python scripts/annotation/reannotate_run_local.py --gse GSE178175 --run SRR14808727; reference-consensus overlay in run audit	release_v8_20260824_same_capture_barcode_paper_qc/active_cell_annotation.parquet
SRR14808728	GSE178175	1.10	PacBio	True	3prime:v3	human	pacbio_ccs_bypass_lima	downloaded					no	PACBIO_SMRT	scPacBio	done	907	17023	data/isoquant_pacbio/GSE178175/SRR14808728	PacBio	23923	annotation_v2_called	ENA	GSM5381315	GEO_SRX_RELATION	MATCH	SRX11141675	SAMN19697588	SRS9203747	PRJNA737508	SRP324021	Homo sapiens	9606	FCtx1_PacBio	Sequel II sequencing: GSM5381315: FCtx1_PacBio Homo sapiens RNA-Seq	Sequel II		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	FCtx1_PacBio	Frontal Cortex	Homo sapiens	tissue: Brain || age: 68 || Sex: Male || disease state: Control (healthy) sample	total RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated_with_unresolved	computational_run_local_reference_consensus_v1	7339	run_exact	COMPUTATIONAL_RUN_LOCAL_REFERENCE_CONSENSUS: same-run matrix; cross-run reference centroids only, no barcode join	python scripts/annotation/reannotate_run_local.py --gse GSE178175 --run SRR14808728; reference-consensus overlay in run audit	release_v8_20260824_same_capture_barcode_paper_qc/active_cell_annotation.parquet
SRR14808729	GSE178175	1.59	PacBio	True	3prime:v3	human	pacbio_ccs_bypass_lima	downloaded					no	PACBIO_SMRT	scPacBio	done	1611	20109	data/isoquant_pacbio/GSE178175/SRR14808729	PacBio	30049	annotation_v2_called	ENA	GSM5381315	GEO_SRX_RELATION	MATCH	SRX11141675	SAMN19697588	SRS9203747	PRJNA737508	SRP324021	Homo sapiens	9606	FCtx1_PacBio	Sequel II sequencing: GSM5381315: FCtx1_PacBio Homo sapiens RNA-Seq	Sequel II		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	FCtx1_PacBio	Frontal Cortex	Homo sapiens	tissue: Brain || age: 68 || Sex: Male || disease state: Control (healthy) sample	total RNA		ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated_with_unresolved	computational_run_local_reference_consensus_v1	7709	run_exact	COMPUTATIONAL_RUN_LOCAL_REFERENCE_CONSENSUS: same-run matrix; cross-run reference centroids only, no barcode join	python scripts/annotation/reannotate_run_local.py --gse GSE178175 --run SRR14808729; reference-consensus overlay in run audit	release_v8_20260824_same_capture_barcode_paper_qc/active_cell_annotation.parquet
